blank_path,annotated_path,species,confidence,bbox,time,model,camera,detection_conf,cropped,cropped_path
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/06052025-142528-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_06_14_25_28_WCAM02_none.JPG,none,none,none,2025_05_06_14_25_28,day,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/20052025-011822-WCAM02.JPG,none,Bilby,0.9999994039535522,"[[551.1998291015625, 716.5765991210938, 676.3355712890625, 842.2822265625]]",2025_05_20_01_18_22,night,WCAM02,0.8979688882827759,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_20_01_18_22_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/15052025-193134-WCAM02.JPG,none,Bilby,1.0,"[[1746.9207763671875, 961.6337890625, 2047.8016357421875, 1263.4068603515625]]",2025_05_15_19_31_34,night,WCAM02,0.9527588486671448,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_15_19_31_34_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/15052025-193137-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_15_19_31_37_WCAM02_none.JPG,none,none,none,2025_05_15_19_31_37,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/26052025-215903-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_26_21_59_03_WCAM02_none.JPG,none,none,none,2025_05_26_21_59_03,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/17052025-231925-WCAM02.JPG,none,Bilby,1.0,"[[596.0588989257812, 716.7872314453125, 743.6936645507812, 831.7432861328125]]",2025_05_17_23_19_25,night,WCAM02,0.8854570984840393,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_17_23_19_25_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/15052025-193136-WCAM02.JPG,none,Bilby,1.0,"[[1197.0738525390625, 1008.3566284179688, 1805.5316162109375, 1394.3787841796875]]",2025_05_15_19_31_36,night,WCAM02,0.9640442728996277,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_15_19_31_36_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/17052025-231923-WCAM02.JPG,none,Bilby,1.0,"[[1001.6261596679688, 683.5895385742188, 1227.3004150390625, 780.7379760742188]]",2025_05_17_23_19_23,night,WCAM02,0.8826466202735901,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_17_23_19_23_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/26052025-215901-WCAM02.JPG,none,Bilby,0.9999992847442627,"[[254.6135711669922, 748.6098022460938, 597.2377319335938, 895.9464721679688]]",2025_05_26_21_59_01,night,WCAM02,0.9414268136024475,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_26_21_59_01_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/16052025-074557-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_16_07_45_57_WCAM02_none.JPG,none,none,none,2025_05_16_07_45_57,day,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/24052025-033204-WCAM02.JPG,none,Bilby,1.0,"[[364.37725830078125, 773.2401733398438, 575.5223999023438, 895.13134765625]]",2025_05_24_03_32_04,night,WCAM02,0.9067362546920776,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_24_03_32_04_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/29052025-092641-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_29_09_26_41_WCAM02_none.JPG,none,none,none,2025_05_29_09_26_41,day,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/11052025-050430-WCAM02.JPG,none,Bilby,1.0,"[[1533.5234375, 1050.6693115234375, 1947.9840087890625, 1371.0634765625]]",2025_05_11_05_04_30,night,WCAM02,0.9600594639778137,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_11_05_04_30_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/11052025-050431-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/further_verification/annotated/2025_05_11_05_04_31_WCAM02_animal.JPG,animal,none,"[0.9746, 0.6611, 0.0253, 0.1472]",2025_05_11_05_04_31,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/13052025-224629-WCAM02.JPG,none,Bilby,1.0,"[[20.4144287109375, 1144.5965576171875, 359.112060546875, 1405.08349609375]]",2025_05_13_22_46_29,night,WCAM02,0.9472695589065552,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_13_22_46_29_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/21052025-020154-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_21_02_01_54_WCAM02_none.JPG,none,none,none,2025_05_21_02_01_54,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/16052025-074556-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_16_07_45_56_WCAM02_none.JPG,none,none,none,2025_05_16_07_45_56,day,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/20052025-011841-WCAM02.JPG,none,Bilby,1.0,"[[883.4728393554688, 1117.8551025390625, 1227.9891357421875, 1405.520751953125]]",2025_05_20_01_18_41,night,WCAM02,0.9049124121665955,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_20_01_18_41_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/26052025-014833-WCAM02.JPG,none,Bilby,0.999903678894043,"[[810.5607299804688, 1083.13037109375, 1054.0927734375, 1404.1876220703125]]",2025_05_26_01_48_33,night,WCAM02,0.9569326043128967,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_26_01_48_33_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/23052025-183145-WCAM02.JPG,none,Bilby,0.9999409914016724,"[[1943.7412109375, 738.6358032226562, 2048.0, 880.7392578125]]",2025_05_23_18_31_45,night,WCAM02,0.892436146736145,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_23_18_31_45_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/23052025-014212-WCAM02.JPG,none,Bilby,1.0,"[[1718.7938232421875, 960.0055541992188, 2048.0, 1282.3751220703125]]",2025_05_23_01_42_12,night,WCAM02,0.9524247646331787,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_23_01_42_12_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/24052025-033211-WCAM02.JPG,none,Bilby,1.0,"[[195.73008728027344, 780.5626831054688, 447.0865173339844, 902.0099487304688]]",2025_05_24_03_32_11,night,WCAM02,0.9208012223243713,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_24_03_32_11_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/09052025-044133-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_09_04_41_33_WCAM02_none.JPG,none,none,none,2025_05_09_04_41_33,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/09052025-230935-WCAM02.JPG,none,Bilby,0.9999855756759644,"[[1840.864501953125, 675.2352905273438, 2047.966064453125, 816.9979858398438]]",2025_05_09_23_09_35,night,WCAM02,0.9233337640762329,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_09_23_09_35_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/06052025-142529-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_06_14_25_29_WCAM02_none.JPG,none,none,none,2025_05_06_14_25_29,day,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/29052025-092639-WCAM02.JPG,none,Kangaroo,0.9979656934738159,"[[0.0, 36.6630859375, 794.3848876953125, 1401.5799560546875]]",2025_05_29_09_26_39,day,WCAM02,0.8949557542800903,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/day/Kangaroo/WCAM02_2025_05_29_09_26_39_Kangaroo_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/21052025-020155-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_21_02_01_55_WCAM02_none.JPG,none,none,none,2025_05_21_02_01_55,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/23052025-183150-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_23_18_31_50_WCAM02_none.JPG,none,none,none,2025_05_23_18_31_50,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/17052025-004952-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_17_00_49_52_WCAM02_none.JPG,none,none,none,2025_05_17_00_49_52,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/24052025-033213-WCAM02.JPG,none,Bilby,1.0,"[[59.34929275512695, 767.4556274414062, 248.36131286621094, 903.0541381835938]]",2025_05_24_03_32_13,night,WCAM02,0.8899195790290833,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_24_03_32_13_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/20052025-011824-WCAM02.JPG,none,Bilby,1.0,"[[358.1605224609375, 766.2528686523438, 582.1078491210938, 887.7330932617188]]",2025_05_20_01_18_24,night,WCAM02,0.8588594198226929,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_20_01_18_24_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/25052025-212437-WCAM02.JPG,none,Bilby,1.0,"[[343.05255126953125, 694.3051147460938, 596.5046997070312, 829.7736206054688]]",2025_05_25_21_24_37,night,WCAM02,0.9309467077255249,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_25_21_24_37_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/17052025-004951-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_17_00_49_51_WCAM02_none.JPG,none,none,none,2025_05_17_00_49_51,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/09052025-044134-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_09_04_41_34_WCAM02_none.JPG,none,none,none,2025_05_09_04_41_34,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/15052025-193139-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_15_19_31_39_WCAM02_none.JPG,none,none,none,2025_05_15_19_31_39,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/14052025-194236-WCAM02.JPG,none,Bilby,1.0,"[[1556.743408203125, 727.7009887695312, 1724.1968994140625, 863.8505859375]]",2025_05_14_19_42_36,night,WCAM02,0.903016209602356,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_14_19_42_36_Bilby_0.JPG
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/09052025-045641-WCAM02.JPG,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/discard/2025_05_09_04_56_41_WCAM02_none.JPG,none,none,none,2025_05_09_04_56_41,night,WCAM02,none,NO,none
/home/willwright/Documents/wild_deserts_outputs/raw_data/test/WCAM02/100RECNX/20052025-011827-WCAM02.JPG,none,Bilby,1.0,"[[16.2169189453125, 784.5441284179688, 157.9166259765625, 899.5437622070312]]",2025_05_20_01_18_27,night,WCAM02,0.8558857440948486,YES,/home/willwright/Documents/wild_deserts_outputs/raw_data/test/outputs/classification/night/Bilby/WCAM02_2025_05_20_01_18_27_Bilby_0.JPG
