"","camera","id","correct_species","count","datetime"
"31","WCAM03",31,"Kangaroo",1,2025-06-09 01:39:46
"32","WCAM03",32,"Kangaroo",1,2025-06-09 19:02:33
"33","WCAM03",33,"Kangaroo",2,2025-06-11 05:55:01
"34","WCAM03",34,"Kangaroo",1,2025-06-11 18:19:23
"35","WCAM03",35,"Kangaroo",1,2025-06-11 22:55:45
"36","WCAM03",36,"Kangaroo",1,2025-06-15 00:35:42
"37","WCAM03",37,"Kangaroo",2,2025-06-17 02:37:23
"38","WCAM03",38,"Kangaroo",1,2025-06-17 06:24:46
"39","WCAM03",39,"Kangaroo",1,2025-06-19 04:43:50
"40","WCAM03",40,"Kangaroo",2,2025-06-21 05:17:15
"41","WCAM03",41,"Kangaroo",1,2025-06-21 21:42:16
"42","WCAM03",42,"Bilby",1,2025-06-22 00:17:13
"43","WCAM03",43,"Kangaroo",1,2025-06-22 07:00:13
"44","WCAM03",44,"Kangaroo",1,2025-06-23 05:31:58
"45","WCAM03",45,"Kangaroo",1,2025-06-23 06:04:42
"46","WCAM03",46,"Kangaroo",1,2025-06-24 19:50:04
"47","WCAM03",47,"Kangaroo",1,2025-06-25 03:22:06
"48","WCAM03",48,"Kangaroo",2,2025-06-26 04:32:16
"49","WCAM03",49,"Kangaroo",1,2025-06-26 06:45:51
"50","WCAM04",50,"Cat",1,2025-06-01 23:36:47
"51","WCAM04",51,"Kangaroo",1,2025-06-07 18:33:43
"52","WCAM04",52,"Bilby",1,2025-06-08 22:21:57
"53","WCAM04",53,"Bilby",1,2025-06-19 21:46:06
"54","WCAM04",54,"Cat",1,2025-06-22 01:20:35
"55","WCAM04",55,"Cat",1,2025-06-23 04:57:10
"56","WCAM05",56,"Cat",1,2025-05-29 21:13:36
"57","WCAM05",57,"Kangaroo",1,2025-05-31 02:17:51
"58","WCAM05",58,"Bilby",1,2025-06-01 00:59:40
"59","WCAM05",59,"Rabbit",1,2025-06-04 05:11:16
"60","WCAM05",60,"Kangaroo",1,2025-06-05 16:46:01
"61","WCAM05",61,"Kangaroo",1,2025-06-07 19:31:37
"62","WCAM05",62,"Kangaroo",1,2025-06-08 22:56:51
"63","WCAM05",63,"Kangaroo",1,2025-06-09 00:07:16
"64","WCAM05",64,"Kangaroo",1,2025-06-09 03:13:32
"65","WCAM05",65,"Kangaroo",1,2025-06-09 17:25:41
"66","WCAM05",66,"Kangaroo",1,2025-06-09 21:10:19
"67","WCAM05",67,"Kangaroo",1,2025-06-09 21:44:03
"68","WCAM05",68,"Kangaroo",1,2025-06-09 23:10:29
"69","WCAM05",69,"Kangaroo",1,2025-06-10 00:30:29
"70","WCAM05",70,"Kangaroo",1,2025-06-10 19:14:49
"71","WCAM05",71,"Kangaroo",1,2025-06-10 20:57:13
"72","WCAM05",72,"Kangaroo",1,2025-06-11 04:16:29
"73","WCAM05",73,"Kangaroo",1,2025-06-11 06:27:39
"74","WCAM05",74,"Kangaroo",1,2025-06-11 17:08:25
"75","WCAM05",75,"Kangaroo",1,2025-06-11 22:44:39
"76","WCAM05",76,"Kangaroo",1,2025-06-11 23:56:10
"77","WCAM05",77,"Kangaroo",1,2025-06-12 00:53:24
"78","WCAM05",78,"Kangaroo",1,2025-06-12 04:07:58
"79","WCAM05",79,"Kangaroo",1,2025-06-12 04:18:13
"80","WCAM05",80,"Kangaroo",1,2025-06-12 04:53:53
"81","WCAM05",81,"Kangaroo",1,2025-06-12 16:08:40
"82","WCAM05",82,"Kangaroo",1,2025-06-12 16:53:19
"83","WCAM05",83,"Kangaroo",3,2025-06-12 21:00:14
"84","WCAM05",84,"Kangaroo",1,2025-06-12 21:18:34
"85","WCAM05",85,"Cat",1,2025-06-12 23:43:03
"86","WCAM05",86,"Kangaroo",1,2025-06-13 01:01:19
"87","WCAM05",87,"Kangaroo",2,2025-06-13 06:33:45
"88","WCAM05",88,"Kangaroo",2,2025-06-13 22:40:29
"89","WCAM05",89,"Kangaroo",1,2025-06-13 23:42:15
"90","WCAM05",90,"Cat",1,2025-06-14 03:49:55
"91","WCAM05",91,"Kangaroo",2,2025-06-14 06:49:30
"92","WCAM05",92,"Kangaroo",1,2025-06-14 16:53:22
"93","WCAM05",93,"Kangaroo",1,2025-06-14 21:59:12
"94","WCAM05",94,"Kangaroo",3,2025-06-14 22:53:49
"95","WCAM05",95,"Kangaroo",2,2025-06-14 23:11:23
"96","WCAM05",96,"Kangaroo",2,2025-06-14 23:26:57
"97","WCAM05",97,"Kangaroo",1,2025-06-15 00:22:34
"98","WCAM05",98,"Kangaroo",1,2025-06-17 21:14:44
"99","WCAM05",99,"Kangaroo",1,2025-06-18 22:50:16
"100","WCAM05",100,"Kangaroo",1,2025-06-19 20:44:47
"101","WCAM05",101,"Bilby",1,2025-06-19 21:28:18
"102","WCAM05",102,"Bilby",1,2025-06-19 22:39:24
"103","WCAM05",103,"Bilby",1,2025-06-19 22:58:35
"104","WCAM05",104,"Kangaroo",1,2025-06-20 16:31:50
"105","WCAM05",105,"Kangaroo",1,2025-06-21 01:34:15
"106","WCAM05",106,"Bilby",1,2025-06-24 02:41:57
"107","WCAM05",107,"Bilby",1,2025-06-24 02:46:34
"108","WCAM05",108,"Kangaroo",1,2025-06-24 04:59:02
"109","WCAM05",109,"Kangaroo",1,2025-06-24 06:51:19
"110","WCAM05",110,"Kangaroo",1,2025-06-24 19:06:28
"111","WCAM05",111,"Bilby",1,2025-06-25 01:24:14
"112","WCAM05",112,"Bilby",1,2025-06-25 02:26:10
"113","WCAM05",113,"Rabbit",1,2025-06-25 22:49:51
"114","WCAM05",114,"Kangaroo",1,2025-06-26 00:52:08
"115","WCAM05",115,"Kangaroo",1,2025-06-26 04:05:53
"116","WCAM05",116,"Kangaroo",1,2025-06-26 05:12:12
"117","WCAM05",117,"Rabbit",1,2025-06-26 06:08:29
"118","WCAM05",118,"Kangaroo",2,2025-06-26 06:34:16
"119","WCAM06",119,"Bilby",1,2025-06-04 01:01:19
"120","WCAM06",120,"Bilby",1,2025-06-04 23:57:51
"121","WCAM07",121,"Kangaroo",2,2025-06-09 16:45:28
"122","WCAM07",122,"Kangaroo",1,2025-06-09 17:01:57
"123","WCAM08",123,"Kangaroo",1,2025-05-29 10:59:31
"124","WCAM08",124,"Cat",1,2025-05-29 17:49:04
"125","WCAM08",125,"Kangaroo",1,2025-06-03 06:28:05
"126","WCAM08",126,"Kangaroo",1,2025-06-03 06:30:02
"127","WCAM08",127,"Kangaroo",1,2025-06-03 22:33:04
"128","WCAM08",128,"Kangaroo",1,2025-06-03 23:19:49
"129","WCAM08",129,"Kangaroo",1,2025-06-04 04:23:16
"130","WCAM08",130,"Kangaroo",1,2025-06-06 23:53:07
"131","WCAM08",131,"Kangaroo",2,2025-06-07 01:53:39
"132","WCAM08",132,"Kangaroo",1,2025-06-07 03:01:08
"133","WCAM08",133,"Kangaroo",1,2025-06-08 21:50:03
"134","WCAM08",134,"Kangaroo",2,2025-06-08 22:14:02
"135","WCAM08",135,"Kangaroo",1,2025-06-08 23:22:35
"136","WCAM08",136,"Kangaroo",1,2025-06-08 23:34:36
"137","WCAM08",137,"Kangaroo",2,2025-06-09 00:21:15
"138","WCAM08",138,"Kangaroo",1,2025-06-09 00:36:33
"139","WCAM08",139,"Kangaroo",1,2025-06-09 00:40:57
"140","WCAM08",140,"Kangaroo",1,2025-06-09 07:16:01
"141","WCAM08",141,"Kangaroo",1,2025-06-09 20:02:17
"142","WCAM08",142,"Kangaroo",3,2025-06-10 03:08:34
"143","WCAM08",143,"Kangaroo",3,2025-06-10 03:09:01
"144","WCAM08",144,"Kangaroo",2,2025-06-10 23:48:41
"145","WCAM08",145,"Kangaroo",1,2025-06-12 01:19:08
"146","WCAM08",146,"Kangaroo",1,2025-06-12 01:29:00
"147","WCAM08",147,"Kangaroo",1,2025-06-12 01:59:54
"148","WCAM08",148,"Kangaroo",1,2025-06-12 03:20:58
"149","WCAM08",149,"Kangaroo",1,2025-06-13 01:23:23
"150","WCAM08",150,"Kangaroo",1,2025-06-19 02:36:08
"151","WCAM08",151,"Kangaroo",1,2025-06-21 03:22:27
"152","WCAM08",152,"Bilby",1,2025-06-22 02:15:50
"153","WCAM08",153,"Bilby",1,2025-06-22 02:20:24
"154","WCAM08",154,"Bilby",1,2025-06-22 21:07:36
"155","WCAM08",155,"Kangaroo",1,2025-06-23 05:08:06
"156","WCAM08",156,"Kangaroo",1,2025-06-26 06:24:32
"157","WCAM08",157,"Kangaroo",2,2025-06-26 07:30:46
"158","WCAM08",158,"Kangaroo",1,2025-06-26 07:49:46
"159","WCAM09",159,"Kangaroo",1,2025-05-30 01:53:14
"160","WCAM09",160,"Kangaroo",1,2025-05-30 03:00:39
"161","WCAM09",161,"Kangaroo",1,2025-05-31 01:44:12
"162","WCAM09",162,"Kangaroo",1,2025-05-31 03:22:34
"163","WCAM09",163,"Rabbit",1,2025-06-01 01:59:08
"164","WCAM09",164,"Kangaroo",1,2025-06-02 03:16:37
"165","WCAM09",165,"Kangaroo",1,2025-06-04 23:18:23
"166","WCAM09",166,"Kangaroo",2,2025-06-05 20:59:42
"167","WCAM09",167,"Kangaroo",1,2025-06-06 05:57:40
"168","WCAM09",168,"Kangaroo",1,2025-06-07 07:04:56
"169","WCAM09",169,"Kangaroo",1,2025-06-07 07:54:27
"170","WCAM09",170,"Kangaroo",1,2025-06-08 07:33:11
"171","WCAM09",171,"Kangaroo",1,2025-06-08 23:38:43
"172","WCAM09",172,"Kangaroo",2,2025-06-09 02:23:12
"173","WCAM09",173,"Kangaroo",1,2025-06-09 04:06:07
"174","WCAM09",174,"Kangaroo",2,2025-06-09 20:56:35
"175","WCAM09",175,"Kangaroo",2,2025-06-09 22:52:10
"176","WCAM09",176,"Kangaroo",1,2025-06-10 00:29:11
"177","WCAM09",177,"Kangaroo",1,2025-06-10 19:51:00
"178","WCAM10",178,"Kangaroo",1,2025-05-30 17:13:50
"179","WCAM10",179,"Kangaroo",1,2025-05-31 07:21:25
"180","WCAM10",180,"Kangaroo",1,2025-06-03 19:56:34
"181","WCAM10",181,"Kangaroo",1,2025-06-04 19:18:26
"182","WCAM10",182,"Kangaroo",1,2025-06-04 19:51:02
"183","WCAM10",183,"Kangaroo",2,2025-06-06 22:09:39
"184","WCAM10",184,"Kangaroo",1,2025-06-06 22:13:00
"185","WCAM10",185,"Cat",1,2025-06-07 20:20:32
"186","WCAM10",186,"Kangaroo",1,2025-06-09 21:24:12
"187","WCAM10",187,"Kangaroo",1,2025-06-10 00:20:21
"188","WCAM10",188,"Kangaroo",1,2025-06-10 00:24:14
"189","WCAM10",189,"Kangaroo",1,2025-06-10 00:47:37
"190","WCAM10",190,"Kangaroo",1,2025-06-10 01:29:06
"191","WCAM10",191,"Kangaroo",1,2025-06-10 01:33:04
"192","WCAM10",192,"Kangaroo",1,2025-06-10 03:58:07
"193","WCAM10",193,"Kangaroo",1,2025-06-10 05:00:28
"194","WCAM10",194,"Kangaroo",2,2025-06-10 20:04:19
"195","WCAM11",195,"Kangaroo",1,2025-05-30 02:33:03
"196","WCAM11",196,"Kangaroo",1,2025-05-30 02:46:36
"197","WCAM11",197,"Kangaroo",1,2025-05-30 16:35:55
"198","WCAM11",198,"Kangaroo",1,2025-06-02 00:29:12
"199","WCAM11",199,"Cat",1,2025-06-02 04:04:20
"200","WCAM11",200,"Kangaroo",1,2025-06-02 18:44:52
"201","WCAM11",201,"Kangaroo",1,2025-06-03 05:38:04
"202","WCAM11",202,"Kangaroo",1,2025-06-07 01:32:25
"203","WCAM11",203,"Kangaroo",1,2025-06-07 08:52:12
"204","WCAM11",204,"Kangaroo",1,2025-06-07 17:20:01
"205","WCAM11",205,"Kangaroo",2,2025-06-07 19:48:59
"206","WCAM11",206,"Kangaroo",1,2025-06-07 19:53:01
"207","WCAM12",207,"Kangaroo",1,2025-06-02 15:12:58
"208","WCAM12",208,"Kangaroo",1,2025-06-10 01:49:10
"209","WCAM12",209,"Kangaroo",1,2025-06-15 00:22:16
"210","WCAM12",210,"Kangaroo",2,2025-06-19 07:05:28
"211","WCAM12",211,"Kangaroo",1,2025-06-19 18:03:32
"212","WCAM12",212,"Kangaroo",2,2025-06-19 18:48:54
"213","WCAM13",213,"Kangaroo",2,2025-06-02 21:34:55
"214","WCAM13",214,"Kangaroo",1,2025-06-07 01:40:04
"215","WCAM13",215,"Kangaroo",1,2025-06-07 20:30:24
"216","WCAM13",216,"Kangaroo",1,2025-06-08 03:20:36
"217","WCAM13",217,"Kangaroo",1,2025-06-08 21:09:15
"218","WCAM13",218,"Kangaroo",2,2025-06-11 04:20:52
"219","WCAM13",219,"Kangaroo",1,2025-06-16 04:16:46
"220","WCAM13",220,"Kangaroo",1,2025-06-21 05:21:00
"221","WCAM13",221,"Kangaroo",1,2025-06-23 05:24:07
"222","WCAM13",222,"Kangaroo",1,2025-06-24 05:59:59
"223","WCAM13",223,"Kangaroo",1,2025-06-24 06:17:09
"224","WCAM13",224,"Kangaroo",1,2025-06-24 06:24:16
"225","WCAM13",225,"Kangaroo",2,2025-06-25 07:34:07
"226","WCAM13",226,"Kangaroo",2,2025-06-25 07:46:30
"227","WCAM13",227,"Kangaroo",2,2025-06-26 06:15:25
"228","WCAM13",228,"Kangaroo",1,2025-06-26 11:02:49
"229","WCAM15",229,"Kangaroo",1,2025-05-30 06:38:55
"230","WCAM15",230,"Kangaroo",1,2025-05-30 20:21:56
"231","WCAM15",231,"Kangaroo",1,2025-05-30 20:34:40
"232","WCAM15",232,"Kangaroo",1,2025-05-30 20:49:56
"233","WCAM15",233,"Kangaroo",1,2025-05-30 21:00:11
"234","WCAM15",234,"Kangaroo",1,2025-05-30 21:15:06
"235","WCAM15",235,"Kangaroo",1,2025-05-30 21:30:48
"236","WCAM15",236,"Kangaroo",1,2025-05-30 21:57:16
"237","WCAM15",237,"Kangaroo",2,2025-05-30 23:03:33
"238","WCAM15",238,"Kangaroo",1,2025-05-30 23:50:19
"239","WCAM15",239,"Kangaroo",2,2025-05-31 00:18:39
"240","WCAM15",240,"Kangaroo",1,2025-05-31 00:53:31
"241","WCAM15",241,"Kangaroo",2,2025-05-31 01:24:59
"242","WCAM15",242,"Kangaroo",1,2025-05-31 02:11:37
"243","WCAM15",243,"Kangaroo",1,2025-05-31 02:34:23
"244","WCAM15",244,"Kangaroo",2,2025-05-31 03:38:37
"245","WCAM15",245,"Kangaroo",1,2025-05-31 03:58:32
"246","WCAM15",246,"Kangaroo",1,2025-05-31 05:05:04
"247","WCAM15",247,"Kangaroo",2,2025-05-31 05:10:16
"248","WCAM15",248,"Kangaroo",1,2025-05-31 06:15:14
"249","WCAM15",249,"Kangaroo",1,2025-05-31 06:25:24
"250","WCAM15",250,"Kangaroo",1,2025-05-31 16:25:51
"251","WCAM15",251,"Kangaroo",2,2025-05-31 20:51:25
"252","WCAM15",252,"Kangaroo",1,2025-05-31 21:54:53
"253","WCAM15",253,"Kangaroo",1,2025-05-31 22:21:43
"254","WCAM15",254,"Kangaroo",1,2025-05-31 22:34:52
"255","WCAM15",255,"Kangaroo",1,2025-05-31 22:56:19
"256","WCAM15",256,"Kangaroo",1,2025-05-31 22:59:08
"257","WCAM15",257,"Kangaroo",1,2025-05-31 23:19:14
"258","WCAM15",258,"Kangaroo",1,2025-06-01 02:22:33
"259","WCAM15",259,"Kangaroo",1,2025-06-01 02:36:03
"260","WCAM15",260,"Kangaroo",1,2025-06-01 02:38:14
"261","WCAM15",261,"Kangaroo",1,2025-06-01 03:04:19
"262","WCAM15",262,"Kangaroo",1,2025-06-01 03:08:54
"263","WCAM15",263,"Kangaroo",1,2025-06-01 03:27:30
"264","WCAM15",264,"Kangaroo",2,2025-06-01 06:20:18
"265","WCAM15",265,"Kangaroo",1,2025-06-01 06:40:16
"266","WCAM15",266,"Kangaroo",1,2025-06-01 11:21:53
"267","WCAM15",267,"Kangaroo",2,2025-06-01 17:14:52
"268","WCAM15",268,"Kangaroo",1,2025-06-01 21:27:44
"269","WCAM15",269,"Kangaroo",1,2025-06-01 23:27:45
"270","WCAM15",270,"Kangaroo",1,2025-06-01 23:40:29
"271","WCAM15",271,"Kangaroo",2,2025-06-01 23:55:51
"272","WCAM15",272,"Kangaroo",1,2025-06-02 00:07:10
"273","WCAM15",273,"Kangaroo",1,2025-06-02 00:08:44
"274","WCAM15",274,"Kangaroo",1,2025-06-02 01:53:16
"275","WCAM15",275,"Rabbit",1,2025-06-02 02:13:25
"276","WCAM15",276,"Kangaroo",1,2025-06-02 04:31:55
"277","WCAM15",277,"Kangaroo",1,2025-06-02 04:42:08
"278","WCAM15",278,"Kangaroo",1,2025-06-02 04:53:39
"279","WCAM15",279,"Kangaroo",2,2025-06-02 05:02:20
"280","WCAM15",280,"Kangaroo",1,2025-06-02 05:12:47
"281","WCAM15",281,"Kangaroo",2,2025-06-02 06:19:45
"282","WCAM15",282,"Kangaroo",1,2025-06-02 06:46:25
"283","WCAM15",283,"Kangaroo",1,2025-06-02 08:47:28
"284","WCAM15",284,"Kangaroo",1,2025-06-02 08:48:01
"285","WCAM15",285,"Kangaroo",2,2025-06-02 17:33:58
"286","WCAM15",286,"Kangaroo",1,2025-06-03 05:15:33
"287","WCAM15",287,"Kangaroo",1,2025-06-03 05:36:10
"288","WCAM15",288,"Kangaroo",1,2025-06-03 05:50:46
"289","WCAM15",289,"Kangaroo",1,2025-06-03 06:06:30
"290","WCAM15",290,"Kangaroo",1,2025-06-03 06:18:26
"291","WCAM15",291,"Kangaroo",1,2025-06-03 07:21:50
"292","WCAM15",292,"Kangaroo",1,2025-06-03 18:56:56
"293","WCAM15",293,"Kangaroo",1,2025-06-03 19:58:22
"294","WCAM15",294,"Kangaroo",1,2025-06-03 20:30:04
"295","WCAM15",295,"Kangaroo",1,2025-06-03 21:40:17
"296","WCAM15",296,"Kangaroo",1,2025-06-03 22:08:40
"297","WCAM15",297,"Kangaroo",1,2025-06-03 22:24:18
"298","WCAM15",298,"Kangaroo",1,2025-06-03 22:56:46
"299","WCAM15",299,"Kangaroo",1,2025-06-03 23:23:51
"300","WCAM15",300,"Kangaroo",2,2025-06-03 23:32:12
"301","WCAM15",301,"Kangaroo",2,2025-06-04 19:44:59
"302","WCAM15",302,"Kangaroo",2,2025-06-04 19:52:57
"303","WCAM15",303,"Kangaroo",1,2025-06-04 20:16:47
"304","WCAM15",304,"Kangaroo",1,2025-06-04 20:29:14
"305","WCAM15",305,"Kangaroo",1,2025-06-04 20:38:54
"306","WCAM15",306,"Kangaroo",1,2025-06-04 21:09:49
"307","WCAM15",307,"Kangaroo",1,2025-06-04 22:02:29
"308","WCAM15",308,"Kangaroo",1,2025-06-04 22:11:41
"309","WCAM15",309,"Kangaroo",1,2025-06-04 22:30:27
"310","WCAM15",310,"Kangaroo",1,2025-06-04 22:52:22
"311","WCAM15",311,"Kangaroo",1,2025-06-04 23:04:40
"312","WCAM15",312,"Kangaroo",1,2025-06-04 23:09:55
"313","WCAM15",313,"Kangaroo",1,2025-06-04 23:23:33
"314","WCAM15",314,"Kangaroo",2,2025-06-04 23:57:39
"315","WCAM15",315,"Kangaroo",1,2025-06-04 23:58:04
"316","WCAM15",316,"Kangaroo",1,2025-06-05 00:13:06
"317","WCAM15",317,"Kangaroo",2,2025-06-05 00:19:20
"318","WCAM15",318,"Kangaroo",1,2025-06-05 00:35:55
"319","WCAM15",319,"Kangaroo",1,2025-06-05 00:39:24
"320","WCAM15",320,"Kangaroo",1,2025-06-05 01:00:48
"321","WCAM15",321,"Kangaroo",1,2025-06-05 02:01:29
"322","WCAM15",322,"Kangaroo",1,2025-06-05 03:01:46
"323","WCAM15",323,"Cat",1,2025-06-05 04:03:23
"324","WCAM15",324,"Kangaroo",2,2025-06-05 16:32:04
"325","WCAM15",325,"Kangaroo",1,2025-06-05 16:58:04
"326","WCAM15",326,"Kangaroo",2,2025-06-05 17:37:19
"327","WCAM15",327,"Kangaroo",2,2025-06-05 17:38:03
"328","WCAM15",328,"Kangaroo",1,2025-06-05 18:20:09
"329","WCAM15",329,"Kangaroo",1,2025-06-05 19:02:14
"330","WCAM15",330,"Kangaroo",1,2025-06-05 19:08:09
"331","WCAM15",331,"Kangaroo",1,2025-06-05 19:55:27
"332","WCAM15",332,"Kangaroo",1,2025-06-05 22:19:52
"333","WCAM15",333,"Kangaroo",2,2025-06-05 22:42:22
"334","WCAM15",334,"Kangaroo",1,2025-06-06 00:06:53
"335","WCAM15",335,"Kangaroo",1,2025-06-06 00:12:42
"336","WCAM15",336,"Kangaroo",1,2025-06-06 00:25:32
"337","WCAM15",337,"Kangaroo",1,2025-06-06 00:44:22
"338","WCAM15",338,"Kangaroo",2,2025-06-06 05:03:26
"339","WCAM15",339,"Kangaroo",1,2025-06-06 05:08:15
"340","WCAM15",340,"Kangaroo",3,2025-06-06 05:34:00
"341","WCAM15",341,"Kangaroo",1,2025-06-06 05:44:20
"342","WCAM15",342,"Kangaroo",2,2025-06-06 05:51:49
"343","WCAM15",343,"Kangaroo",1,2025-06-06 06:01:30
"344","WCAM15",344,"Kangaroo",1,2025-06-06 06:15:15
"345","WCAM15",345,"Kangaroo",1,2025-06-06 06:26:34
"346","WCAM15",346,"Kangaroo",2,2025-06-06 06:36:11
"347","WCAM15",347,"Kangaroo",1,2025-06-06 06:54:52
"348","WCAM15",348,"Kangaroo",1,2025-06-06 06:59:29
"349","WCAM15",349,"Kangaroo",3,2025-06-06 16:40:30
"350","WCAM15",350,"Kangaroo",1,2025-06-06 19:41:04
"351","WCAM15",351,"Kangaroo",1,2025-06-06 20:15:48
"352","WCAM15",352,"Kangaroo",1,2025-06-06 20:59:45
"353","WCAM15",353,"Kangaroo",1,2025-06-06 22:03:14
"354","WCAM15",354,"Kangaroo",2,2025-06-06 22:20:58
"355","WCAM15",355,"Kangaroo",1,2025-06-06 23:02:21
"356","WCAM15",355,"Rabbit",1,2025-06-06 23:02:37
"357","WCAM15",356,"Kangaroo",1,2025-06-06 23:17:36
"358","WCAM15",357,"Kangaroo",1,2025-06-06 23:27:43
"359","WCAM15",358,"Kangaroo",1,2025-06-06 23:49:22
"360","WCAM15",359,"Kangaroo",1,2025-06-07 00:34:44
"361","WCAM15",360,"Kangaroo",1,2025-06-07 01:21:52
"362","WCAM15",361,"Kangaroo",2,2025-06-07 01:30:47
"363","WCAM15",362,"Kangaroo",1,2025-06-07 01:58:05
"364","WCAM15",363,"Kangaroo",2,2025-06-07 02:48:23
"365","WCAM15",364,"Kangaroo",1,2025-06-07 03:02:30
"366","WCAM15",365,"Kangaroo",1,2025-06-07 18:16:56
"367","WCAM15",366,"Kangaroo",1,2025-06-07 18:18:00
"368","WCAM15",367,"Kangaroo",2,2025-06-07 19:05:11
"369","WCAM15",368,"Kangaroo",1,2025-06-07 19:11:49
"370","WCAM15",369,"Kangaroo",1,2025-06-07 19:55:23
"371","WCAM15",370,"Kangaroo",1,2025-06-07 21:26:51
"372","WCAM15",371,"Kangaroo",1,2025-06-07 21:29:01
"373","WCAM15",372,"Kangaroo",1,2025-06-07 22:03:35
"374","WCAM15",373,"Kangaroo",1,2025-06-07 22:19:42
"375","WCAM15",374,"Kangaroo",1,2025-06-08 04:05:11
"376","WCAM15",375,"Kangaroo",1,2025-06-08 23:22:39
"377","WCAM15",376,"Kangaroo",1,2025-06-09 05:01:36
"378","WCAM15",377,"Kangaroo",1,2025-06-09 05:56:33
"379","WCAM15",378,"Kangaroo",1,2025-06-09 16:55:03
"380","WCAM15",379,"Kangaroo",2,2025-06-09 16:59:50
"381","WCAM15",380,"Kangaroo",2,2025-06-09 17:11:54
"382","WCAM15",381,"Kangaroo",1,2025-06-09 19:38:59
"383","WCAM15",382,"Kangaroo",1,2025-06-09 19:52:22
"384","WCAM15",383,"Kangaroo",1,2025-06-09 20:15:57
"385","WCAM15",384,"Kangaroo",1,2025-06-09 20:30:41
"386","WCAM15",385,"Kangaroo",1,2025-06-09 20:38:12
"387","WCAM15",386,"Kangaroo",1,2025-06-09 22:14:22
"388","WCAM15",387,"Kangaroo",1,2025-06-09 22:19:22
"389","WCAM15",388,"Kangaroo",2,2025-06-09 23:41:06
"390","WCAM15",389,"Kangaroo",1,2025-06-09 23:54:14
"391","WCAM15",390,"Kangaroo",1,2025-06-09 23:59:12
"392","WCAM15",391,"Kangaroo",1,2025-06-10 00:21:18
"393","WCAM15",392,"Kangaroo",1,2025-06-10 01:07:39
"394","WCAM15",393,"Kangaroo",1,2025-06-10 01:13:52
"395","WCAM15",394,"Kangaroo",2,2025-06-10 01:40:10
"396","WCAM15",395,"Kangaroo",1,2025-06-10 02:23:22
"397","WCAM15",396,"Kangaroo",1,2025-06-10 03:16:56
"398","WCAM15",397,"Kangaroo",1,2025-06-10 03:19:10
"399","WCAM15",398,"Kangaroo",1,2025-06-10 03:37:38
"400","WCAM15",399,"Kangaroo",1,2025-06-10 03:38:16
"401","WCAM15",400,"Kangaroo",1,2025-06-10 04:51:08
"402","WCAM15",401,"Kangaroo",1,2025-06-10 16:38:17
"403","WCAM15",402,"Kangaroo",2,2025-06-10 20:03:31
"404","WCAM15",403,"Kangaroo",1,2025-06-10 20:57:18
"405","WCAM15",404,"Kangaroo",1,2025-06-10 21:00:12
"406","WCAM15",405,"Kangaroo",2,2025-06-10 21:21:43
"407","WCAM15",406,"Kangaroo",1,2025-06-10 21:54:59
"408","WCAM15",407,"Kangaroo",1,2025-06-10 22:06:58
"409","WCAM15",408,"Kangaroo",1,2025-06-10 23:17:20
"410","WCAM15",409,"Kangaroo",2,2025-06-10 23:18:05
"411","WCAM15",410,"Kangaroo",2,2025-06-10 23:54:04
"412","WCAM15",411,"Kangaroo",1,2025-06-11 00:18:23
"413","WCAM15",412,"Kangaroo",1,2025-06-11 00:35:48
